date,hour,total_mentions,positive_sentiment,negative_sentiment,neutral_sentiment,sentiment_ratio,is_market_open
2024-10-21,5,0,3,0,0,3.0,0
2024-10-21,11,0,2,0,1,2.0,1
2024-10-21,15,0,2,0,0,2.0,1
2024-10-22,3,0,1,0,0,1.0,0
2024-10-22,4,11,10,0,5,10.0,0
2024-10-22,7,0,1,0,0,1.0,0
2024-10-22,14,0,0,0,1,0.0,1
2024-10-23,3,0,1,0,0,1.0,0
2024-10-23,4,3,6,0,3,6.0,0
2024-10-23,7,0,1,0,0,1.0,0
2024-10-24,4,11,13,0,5,13.0,0
2024-10-24,7,0,1,0,0,1.0,0
2024-10-24,14,0,0,0,1,0.0,1
2024-10-24,16,0,2,0,0,2.0,0
2024-10-25,5,0,1,0,0,1.0,0
2024-10-25,12,0,1,0,0,1.0,1
2024-10-28,3,0,0,0,1,0.0,0
2024-10-28,4,11,11,0,6,11.0,0
2024-10-28,10,0,1,0,0,1.0,1
2024-10-28,16,0,0,1,0,0.0,0
2024-10-29,3,0,1,0,0,1.0,0
2024-10-29,5,12,8,0,10,8.0,0
2024-10-29,9,0,1,0,0,1.0,1
2024-10-29,16,0,1,0,0,1.0,0
2024-10-30,3,1,1,0,2,1.0,0
2024-10-31,2,0,1,0,0,1.0,0
2024-10-31,6,11,13,0,6,13.0,0
2024-10-31,16,0,1,1,0,1.0,0
2024-11-01,4,0,1,0,0,1.0,0
2024-11-01,9,0,5,0,0,5.0,1
2024-11-02,2,0,1,0,0,1.0,0
2024-11-04,3,0,1,0,0,1.0,0
2024-11-04,4,2,1,0,4,1.0,0
2024-11-04,6,3,1,0,3,1.0,0
2024-11-04,7,2,1,0,2,1.0,0
2024-11-04,8,3,2,0,1,2.0,0
2024-11-04,11,1,1,0,0,1.0,1
2024-11-04,14,0,1,1,0,1.0,1
2024-11-05,4,9,12,0,6,12.0,0
2024-11-05,5,4,4,0,1,4.0,0
2024-11-05,7,3,3,0,0,3.0,0
2024-11-05,10,2,1,0,3,1.0,1
2024-11-06,2,0,1,0,0,1.0,0
2024-11-06,4,10,9,0,9,9.0,0
2024-11-06,5,6,4,0,3,4.0,0
2024-11-06,6,2,2,0,0,2.0,0
2024-11-06,10,0,1,0,0,1.0,1
2024-11-06,13,0,0,1,0,0.0,1
2024-11-07,3,0,1,0,0,1.0,0
2024-11-07,4,6,0,0,9,0.0,0
2024-11-07,6,2,3,0,0,3.0,0
2024-11-07,7,2,1,0,1,1.0,0
2024-11-07,10,0,1,0,0,1.0,1
2024-11-07,17,0,0,1,0,0.0,0
2024-11-08,1,0,1,0,0,1.0,0
2024-11-08,4,8,15,0,5,15.0,0
2024-11-08,5,1,0,0,1,0.0,0
2024-11-08,6,1,3,0,0,3.0,0
2024-11-08,7,6,9,0,0,9.0,0
2024-11-08,9,0,2,0,0,2.0,1
2024-11-08,14,0,0,1,0,0.0,1
2024-11-09,2,0,1,0,0,1.0,0
2024-11-11,3,7,7,0,6,7.0,0
2024-11-11,4,9,12,0,0,12.0,0
2024-11-11,5,7,10,0,1,10.0,0
2024-11-11,6,1,2,0,1,2.0,0
2024-11-11,7,0,1,0,0,1.0,0
2024-11-11,10,0,0,0,1,0.0,1
2024-11-11,12,0,1,0,0,1.0,1
2024-11-12,2,0,1,0,0,1.0,0
2024-11-12,3,3,1,0,4,1.0,0
2024-11-12,4,4,4,0,2,4.0,0
2024-11-12,5,4,3,0,1,3.0,0
2024-11-12,9,0,1,0,0,1.0,1
2024-11-13,2,0,1,0,0,1.0,0
2024-11-13,4,11,14,0,5,14.0,0
2024-11-13,5,9,7,0,3,7.0,0
2024-11-13,7,0,2,0,1,2.0,0
2024-11-13,8,1,0,0,1,0.0,0
2024-11-13,12,1,1,0,1,1.0,1
2024-11-13,13,0,1,0,0,1.0,1
2024-11-14,3,0,1,0,0,1.0,0
2024-11-14,4,14,15,1,6,15.0,0
2024-11-14,9,11,10,0,3,10.0,1
2024-11-14,15,0,0,0,2,0.0,1
2024-11-18,4,15,14,0,10,14.0,0
2024-11-18,6,1,4,0,0,4.0,0
2024-11-18,9,3,5,0,0,5.0,1
2024-11-19,5,20,23,0,9,23.0,0
2024-11-19,6,2,3,0,0,3.0,0
2024-11-19,9,2,2,0,2,2.0,1
2024-11-20,3,0,1,0,0,1.0,0
2024-11-21,5,10,7,0,8,7.0,0
2024-11-21,8,6,9,0,0,9.0,0
2024-11-22,5,6,5,0,2,5.0,0
2024-11-22,7,6,7,0,1,7.0,0
2024-11-25,3,0,1,0,0,1.0,0
2024-11-25,9,6,3,0,3,3.0,1
2024-11-26,6,12,13,0,9,13.0,0
2024-11-26,8,0,1,0,0,1.0,0
2024-11-26,17,0,0,0,1,0.0,0
2024-11-27,5,12,11,0,5,11.0,0
2024-11-27,6,4,4,0,0,4.0,0
2024-11-27,7,0,2,0,0,2.0,0
2024-11-27,16,0,0,1,0,0.0,0
2024-11-28,3,2,1,0,5,1.0,0
2024-11-28,5,7,8,1,2,8.0,0
2024-11-28,7,0,1,0,0,1.0,0
2024-11-29,3,0,1,0,0,1.0,0
2024-11-29,4,11,10,0,5,10.0,0
2024-11-29,5,6,7,0,3,7.0,0
2024-11-29,8,0,2,0,1,2.0,0
2024-11-29,10,5,4,0,2,4.0,1
2024-11-30,3,0,1,0,0,1.0,0
2024-11-30,6,0,1,0,1,1.0,0
2024-11-30,10,0,1,0,0,1.0,1
2024-12-02,2,0,1,0,0,1.0,0
2024-12-02,4,6,5,0,6,5.0,0
2024-12-02,5,0,2,0,0,2.0,0
2024-12-02,8,4,9,0,1,9.0,0
2024-12-02,18,0,1,0,0,1.0,0
2024-12-03,4,6,8,0,6,8.0,0
2024-12-03,6,5,6,0,0,6.0,0
2024-12-03,7,0,3,0,4,3.0,0
2024-12-04,4,10,14,0,5,14.0,0
2024-12-04,5,1,2,0,0,2.0,0
2024-12-04,6,2,1,0,1,1.0,0
2024-12-04,8,2,3,0,0,3.0,0
2024-12-04,10,0,1,0,0,1.0,1
2024-12-04,12,0,0,1,0,0.0,1
2024-12-05,6,13,14,0,6,14.0,0
2024-12-05,7,1,1,0,0,1.0,0
2024-12-05,8,4,4,0,0,4.0,0
2024-12-05,9,8,9,0,0,9.0,1
2024-12-05,11,0,0,1,0,0.0,1
2024-12-06,4,12,11,0,8,11.0,0
2024-12-06,7,0,3,0,0,3.0,0
2024-12-06,9,0,2,0,1,2.0,1
2024-12-07,11,74,36,11,53,3.272727272727273,1
